Molecule Name,Molecule Concentration,HTS_0
M-000001,20.0,2.231858015060425
M-000002,1.25,2.175096988677979
M-000002,5.0,1.1548409461975098
M-000001,10.0,1.81515908241272
M-000001,2.5,3.1749260425567627
M-000002,30.0,2.8543237447738647
M-000002,5.0,1.5975923538208008
M-000001,0.625,2.25545620918274
M-000002,5.0,1.5955023765563965
M-000001,0.625,3.3342032432556152
M-000002,30.0,2.643845558166504
M-000001,10.0,1.7655305862426758
M-000001,10.0,2.147695779800415
M-000002,0.3125,0.9963831901550293
M-000001,2.5,3.269364356994629
M-000002,10.0,2.7166625261306763
M-000001,1.25,2.836665391921997
M-000001,2.5,3.659267902374268
M-000001,10.0,2.52188491821289
M-000002,20.0,2.578711748123169
M-000002,10.0,1.7320184707641602
M-000001,5.0,2.620726585388184
M-000001,20.0,1.723135232925415
M-000002,0.3125,1.5586624145507812
M-000001,10.0,1.870765209197998
M-000002,20.0,2.32926058769226
M-000002,1.25,1.068907499313355
M-000002,10.0,2.0980067253112793
M-000002,5.0,2.116091966629028
M-000001,0.3125,2.9581453800201416
M-000001,2.5,2.8034701347351074
M-000001,2.5,3.258571147918701
M-000001,30.0,0.9701536297798156
M-000001,20.0,1.822666049003601
M-000002,10.0,1.8991203308105469
M-000002,0.3125,1.444779396057129
M-000002,5.0,1.9977810382843018
M-000001,0.3125,2.3208510875701904
M-000002,0.625,1.7989356517791748
M-000001,0.625,3.278119802474976
M-000001,20.0,1.580995798110962
M-000001,10.0,2.208719253540039
M-000002,1.25,1.835930585861206
M-000002,10.0,1.973111629486084
M-000002,10.0,1.9521887302398682
M-000001,0.625,2.160912036895752
M-000002,5.0,2.1778788566589355
M-000002,1.25,0.8749146461486816
M-000001,0.3125,3.2442750930786133
M-000001,1.25,3.214059591293335
M-000001,2.5,2.424467086791992
M-000001,0.625,3.164449691772461
M-000001,10.0,2.5421862602233887
M-000001,0.3125,2.982924699783325
M-000001,0.3125,3.111179113388061
M-000002,2.5,1.1523942947387695
M-000002,10.0,2.153170108795166
M-000002,1.25,1.9623382091522217
M-000002,0.625,1.218313455581665
M-000002,5.0,2.141509771347046
M-000001,1.25,2.550222873687744
M-000001,5.0,2.328584909439087
M-000002,20.0,2.431633710861206
M-000002,0.3125,1.3608310222625732
M-000001,5.0,2.655768632888794
